	dtm	0.1	0.2	0.3	0.4	0.5
1230	2019-12-26 15:00:00	0.027313939704116583	6.976607824199855e-06	2.46202816321193e-06	2.2285138686877635e-06	1.6859851689994292e-06
1231	2019-12-26 15:30:00	0.040149333084083194	3.035784316160145e-06	1.4336753026401463e-06	1.4161821633706344e-06	6.682354389528619e-07
1232	2019-12-26 16:00:00	0.04112074916053546	4.27443002120503e-05	1.6204521347980326e-05	9.657125828012991e-06	8.288419628573166e-06
1233	2019-12-26 16:30:00	0.009810053038309537	4.126542999393033e-06	1.5001572346806362e-06	1.4489040265905925e-06	2.1563980801186046e-06
1234	2019-12-26 17:00:00	0.02176515598584251	4.880541406836812e-06	1.776817379090005e-06	1.6862912645010479e-06	9.756249789947021e-07
1235	2019-12-26 17:30:00	0.004109081506284036	5.330286469995074e-06	2.1460237401541905e-06	8.805366621846419e-07	8.528499010511675e-07
1236	2019-12-26 18:00:00	0.02369069994137116	9.137894843859807e-06	5.214467998149714e-06	2.773077786114897e-06	2.070285239831961e-06
1237	2019-12-26 18:30:00	0.02190004141998322	8.274153394315632e-06	2.853849834582681e-06	1.8176240106130874e-06	1.7851022084968446e-06
1238	2019-12-26 19:00:00	0.0173186836993602	1.0368470114315567e-05	3.8009156254607365e-06	3.140510706802941e-06	2.1278325892997787e-06
1239	2019-12-26 19:30:00	0.010914439771643894	3.914454255904799e-06	1.045997994190371e-06	1.184801877630226e-06	9.397875150320277e-07
1240	2019-12-26 20:00:00	0.015119226123117405	5.34561728732009e-06	1.975527378987998e-06	1.5692591816575786e-06	4.208674318585419e-06
1241	2019-12-26 20:30:00	0.01612749056807865	6.117071066154745e-06	1.2871700313677224e-06	8.245814765067009e-07	6.686946298556642e-07
1242	2019-12-26 21:00:00	0.027819780514121806	5.234732874138565e-06	1.9838200778545684e-06	1.9743984643478223e-06	9.711371334140719e-07
1243	2019-12-26 21:30:00	0.018307547332317195	3.822997244034048e-05	1.6303154314853948e-05	9.390405943073896e-06	8.097798241115654e-06
1244	2019-12-26 22:00:00	0.0814510541430605	6.50319614600251e-05	2.2832415296764593e-05	1.4544204805769429e-05	1.1933874452678044e-05
1245	2019-12-26 22:30:00	0.010633375311741852	4.238070089241989e-06	1.676363753204109e-06	2.320350746474162e-06	2.7413475076716535e-06
1246	2019-12-26 23:00:00	0.015098358417777381	4.3325457529147596e-06	1.1379119894994487e-06	1.2618169121521287e-06	1.4324813899184103e-06
1247	2019-12-26 23:30:00	0.013117119148145763	1.9295301822500184e-05	6.580285203923796e-06	4.935764407427732e-06	4.648975728928197e-06
1248	2019-12-27 00:00:00	0.0039800481352004315	5.884655320391097e-06	1.1441502683807115e-06	1.022333334839148e-06	8.407200412866654e-07
1249	2019-12-27 00:30:00	0.004782167045315133	4.580014384397318e-06	9.437945318361839e-07	1.8691112647899792e-06	2.4947915874033515e-06
1250	2019-12-27 01:00:00	0.006219303747014648	4.830259822751531e-06	1.5587141351942642e-06	1.2477924560614595e-06	9.885381834637055e-07
1251	2019-12-27 01:30:00	0.02873678476523975	1.9705120561224126e-05	7.845344498086935e-06	4.074241486080139e-06	3.5705906424832025e-06
1252	2019-12-27 02:00:00	0.008432089712333196	3.115911212363384e-05	1.0979858552671009e-05	7.349916281715663e-06	5.56812298685819e-06
1253	2019-12-27 02:30:00	0.04055535604869121	4.469451651599956e-05	1.618667166330611e-05	1.0308064899703645e-05	9.22560253107151e-06
1254	2019-12-27 03:00:00	0.012319647174280033	7.587767549469439e-05	2.7277863463815615e-05	1.7471577227220414e-05	1.458880238136074e-05
1255	2019-12-27 03:30:00	0.006957005473635057	2.839527097475222e-06	1.0661366012107343e-06	1.1430275479361715e-06	2.1838298804460278e-06
1256	2019-12-27 04:00:00	0.01539460631400603	2.9855579380901448e-05	1.0390934845405708e-05	7.258531227887498e-06	8.54027860647238e-06
1257	2019-12-27 04:30:00	0.013511129975703202	1.0469734635081594e-05	3.723756981523458e-06	2.7533030501805373e-06	5.1004488102727e-06
1258	2019-12-27 05:00:00	0.0088589484856695	2.872653377664652e-05	1.03606562566124e-05	7.96686473068217e-06	6.296811091303323e-06
1259	2019-12-27 05:30:00	0.020235216502777768	0.00013113774648217726	4.6615256773824e-05	3.021225547118714e-05	2.39305744767006e-05
1260	2019-12-27 06:00:00	0.047678002169645024	2.2924375159287458e-05	7.037909522089624e-06	5.050854424645664e-06	3.530030543512276e-06
